Country_Region,Confirmed,Deaths,dailyConfirmed,dailyDeaths
Ukraine,2760229.0,82807.0,7562.0,226.0
United Arab Emirates,554115.0,1495.0,1518.0,4.0
United Kingdom,10514666.0,82652.0,28807.0,226.0
Uruguay,394264.0,5989.0,1080.0,16.0
Uzbekistan,121843.0,871.0,333.0,2.0
Vanuatu,6.0,1.0,0.0,0.0
Venezuela,331077.0,4300.0,907.0,11.0
Vietnam,1729792.0,32359.0,4739.0,88.0
West Bank and Gaza,331744.0,3519.0,908.0,9.0
Winter Olympics 2022,0.0,0.0,0.0,0.0
Yemen,8027.0,1374.0,21.0,3.0
Zambia,233549.0,3346.0,639.0,9.0
Zimbabwe,199391.0,4641.0,546.0,12.0
